Município;Código;Gentílico;Prefeito ano 2021;Área Territorial – km²;População estimada - pessoas ano 2021;Densidade demográfica - hab/km² ano 2010;Escolarização 6 a 14 anos - % ano 2010;IDHM Índice de desenvolvimento humano municipal ano 2010;Mortalidade infantil - óbitos por mil nascidos vivos ano 2020;Receitas realizadas - R$ (×1000) ano 2017;Despesas empenhadas - R$ (×1000) ano 2017;PIB per capita - R$ ano 2019
Abreu e Lima;2600054;abreu-limense;FLÁVIO VIEIRA GADELHA DE ALBUQUERQUE;126,384;100698;748,29;97,2;0,679;12,39;154773,90211;150392,49413;17756,99
Afogados da Ingazeira;2600104;afogadense;ALESANDRO PALMEIRA DE VASCONCELOS LEITE;377,696;37546;92,9;97,3;0,657;11,49;84524,28825;84199,55326;12464,16
Afrânio;2600203;afraniense;RAFAEL ANTONIO CAVALCANTI;1490,594;19981;11,8;98,7;0,588;27,67;48071,21326;46130,64133;8663,84
Agrestina;2600302;agrestinense;JOSUÉ MENDES DA SILVA;200,369;25240;112,58;96,4;0,592;8,67;61063,16654;60315,06588;11341,74
Água Preta;2600401;água-pretense;NOELINO MAGALHAES OLIVEIRA LYRA;533,332;37386;62,05;94;0,553;5,06;71553,7248;66100,20886;6974,69
Águas Belas;2600500;águas-belense;LUIZ AROLDO REZENDE DE LIMA;885,988;43923;45,41;96,1;0,526;8,84;84026,49512;81990,36581;8337,93
Alagoinha;2600609;alagoinhense;UILAS LEAL DA SILVA;216,452;14798;63,16;96,3;0,599;17,62;37869,57675;34348,50055;9579,05
Aliança;2600708;aliancense;XISTO LOURENÇO DE FREITAS NETO;272,773;38408;137,16;97;0,604;16,06;74882,94228;78786,39428;8626,09
Altinho;2600807;altinense;ORLANDO JOSÉ DA SILVA;450,178;22996;49,18;96,9;0,598;7,58;41122,6787;43489,6886;7690,34
Amaraji;2600906;amarajinense;ALINE DE ANDRADE GOUVEIA;234,956;22910;93,37;96,6;0,58;11,03;49759,73815;49201,102;9839,23
Angelim;2601003;angelinense;MARCIO DOUGLAS CAVALCANTI DUARTE;118,037;11301;86,43;96,4;0,572;14,6;31575,19313;28332,47878;12367,69
Araçoiaba;2601052;araçoiabense;CARLOS JOGLI ALBUQUERQUE TAVARES UCHÔA;96,36;20936;188,38;97;0,592;24,31;42647,83708;39742,10425;7289,28
Araripina;2601102;araripinense;JOSÉ RAIMUNDO PIMENTEL DO ESPÍRITO SANTO;2037,394;85301;40,84;95,2;0,602;9,63;161988,93465;154891,63784;12416,62
Arcoverde;2601201;arcoverdense;MARIA MADALENA SANTOS DE BRITTO;323,369;75295;196,05;97,3;0,667;11,8;147298,35801;140070,54537;14727,75
Barra de Guabiraba;2601300;guabirabense;DIOGO CARLOS DE LIMA SILVA;120,583;14632;111,43;93,7;0,577;-;34559,27834;33809,47144;9413,02
Barreiros;2601409;barreirense;CARLOS ARTUR SOARES DE AVELLAR JUNIOR;233,433;42866;174,54;94,6;0,586;17,32;88084,64946;98862,16936;10393,73
Belém de Maria;2601508;belenense;ROLPH EBER CASALE JUNIOR;75,142;12169;153,96;98,5;0,578;13,33;29443,89599;27685,46938;7036,41
Belém do São Francisco;2601607;belenense;GUSTAVO HENRIQUE GRANJA CARIBÉ;1830,797;20730;11,06;97,3;0,642;13,47;51511,47673;53037,46969;13932,2
Belo Jardim;2601706;belo-jardinense;GILVANDRO ESTRELA DE OLIVEIRA;647,696;76930;111,83;97,1;0,629;11,38;178709,72434;157963,60349;25345,75
Betânia;2601805;betaniense;MARIO GOMES FLOR FILHO;1244,074;12811;9,65;93,8;0,559;5,62;33228,17382;30390,38364;7165,16
Bezerros;2601904;bezerrense;MARIA LUCIELLE SILVA LAURENTINO;492,632;60960;119,53;95,9;0,606;7,49;111289,24211;124512,98396;12522,08
Bodocó;2602001;bodocense;OTAVIO AUGUSTO TAVARES PEDROSA CAVALCANTE;1621,786;38605;21,75;95,7;0,565;20,68;77842,57636;74404,09274;7587,92
Bom Conselho;2602100;conselhense;JOAO LUCAS DA SILVA CAVALCANTE;792,185;48975;57,44;96,2;0,563;13,99;97387,10765;105775,569;11448,94
Bom Jardim;2602209;bom-jardinense;JOÃO FRANCISCO DA SILVA NETO;224,12;40038;169,49;97;0,602;14,68;72928,45038;75331,6516;8597,38
Bonito;2602308;bonitense;GUSTAVO ADOLFO NEVES DE ALBUQUERQUE CÉSAR;390,107;38101;94,96;96,7;0,561;13,36;80127,0062;83316,49115;11990,22
Brejão;2602407;brejonense;ELISABETH BARROS DE SANTANA;159,786;8981;55,35;96,3;0,547;11,49;28469,45368;28431,68478;19502,16
Brejinho;2602506;brejinhense;GILSOMAR BENTO DA COSTA;106,275;7489;68,75;98,2;0,574;9,8;25360,88977;21767,43753;8275,55
Brejo da Madre de Deus;2602605;brejense;ROBERTO ABRAHAM ABRAHAMIAN ASFORA;762,346;51696;59,26;95,6;0,562;14,97;93034,245;99285,92713;7950,44
Buenos Aires;2602704;buenairense;JOSE FABIO DE OLIVEIRA;93,187;13224;134,54;97,4;0,593;-;31630,67014;28339,49462;8499,32
Buíque;2602803;buiquense;ARQUIMEDES GUEDES VALENÇA;1320,871;59448;39,18;94,7;0,527;19,49;104123,27125;100810,38233;7560,24
Cabo de Santo Agostinho;2602902;cabense;CLAYTON DA SILVA MARQUES;445,343;210796;412,33;96,5;0,686;9,71;824731,45857;597762,02822;47924,83
Cabrobó;2603009;cabroboense;ELIOENAI DIAS SANTOS FILHO;1658,616;34778;18,62;97,6;0,623;21,65;74974,98517;75912,01263;12063,7
Cachoeirinha;2603108;cachoeirinhense;IVALDO DE ALMEIDA;179,262;20618;104,98;95,3;0,579;14,65;45026,0073;37627,88473;10989,94
Caetés;2603207;caeteense;NIVALDO DA SILVA MARTINS;294,946;29065;80,66;92,6;0,522;15,87;60636,9934;57617,63269;11162,38
Calçado;2603306;calçadense;FRANCISCO EXPEDITO DA PAZ NOGUEIRA;121,945;10983;91,23;97,1;0,566;-;29908,52446;30462,51097;9268,09
Calumbi;2603405;calumbiense;ERIVALDO JOSE DA SILVA;179,314;5744;31,5;95,3;0,571;14,49;21225,39354;20122,05327;8935,14
Camaragibe;2603454;camaragibense;NADEGI ALVES DE QUEIROZ;51,321;159945;2818,46;97,4;0,692;11,79;281348,77533;230504,36035;13514,39
Camocim de São Félix;2603504;camociense ou camocinense;GIORGE DO CARMO BEZERRA;71,985;19032;235,99;97;0,588;26,91;39319,76709;36025,38254;8824,38
Camutanga;2603603;camutanguense;TALITA CARDOZO FONSECA;39,116;8592;217,39;97,9;0,606;-;33111,61483;30565,25951;16810,97
Canhotinho;2603702;canhotinhense;SANDRA REJANE LOPES DE BARROS;423,168;24743;57,96;91,8;0,541;5,88;60821,06924;55903,84664;8493,61
Capoeiras;2603801;capoeirense;LUCINEIDE ALMEIDA REINO;336,329;20048;58,26;96,5;0,549;6,83;48393,02108;45999,66013;10429,92
Carnaíba;2603900;carnaibano;JOSE DE ANCHIETA GOMES PATRIOTA;427,802;19666;43,42;96,1;0,583;28,78;46405,34044;41106,30414;8061,33
Carnaubeira da Penha;2603926;carnaubeirense;ELIZIO SOARES FILHO;1004,667;13117;11,73;98,1;0,573;11,9;26786,40047;28037,73757;6308,28
Carpina;2604007;carpinense;MANUEL SEVERINO DA SILVA;147,017;85131;516,51;95,5;0,68;14,93;141304,60327;127645,62762;19025,6
Caruaru;2604106;caruaruense;RAQUEL TEIXEIRA LYRA LUCENA;923,15;369343;342,07;94,9;0,677;9,74;669460,37758;617694,32903;21075,72
Casinhas;2604155;casinhense;JULIANA BARBOSA DA SILVA AGUIAR;115,868;14395;118,81;97,5;0,567;5,35;38794,2892;35000,43381;6646,52
Catende;2604205;catendense;GRACINA MARIA RAMOS BRAZ DA SILVA;207,244;43778;182,49;95,2;0,609;8,58;83649,81248;78662,80028;6935,38
Cedro;2604304;cedrense;MARLY QUENTAL DA CRUZ;148,746;11972;72,45;95,5;0,615;14,39;32206,71799;31746,40266;8187,58
Chã de Alegria;2604403;alegriense;TARCISIO MASSENA PEREIRA DA SILVA;48,993;13641;255,5;97,1;0,604;9,95;29831,12227;28530,09995;11924,53
Chã Grande;2604502;chã-grandense;DIOGO ALEXANDRE GOMES NETO;84,848;21929;237,33;96,7;0,599;6,78;52044,76996;52010,73032;10210,41
Condado;2604601;condadense;ANTONIO CASSIANO DA SILVA;89,645;26755;270,87;97,3;0,602;14,62;53884,35881;51552,309;8830,37
Correntes;2604700;correntense;HUGO CESAR GOMES GALVAO;317,793;18327;53;93,1;0,536;24,39;59372,24123;46522,9739;9568,7
